97
0.76923,0.50001,-0.5
0.24066,0.44411,0.5
0.75934,0.55589,-0.5
0.26015,0.39236,0.5
0.73985,0.60764,-0.5
0.28814,0.34663,0.5
0.71186,0.65337,-0.5
0.32323,0.30849,0.5
0.67677,0.69151,-0.5
0.36378,0.27914,0.5
0.63622,0.72086,-0.5
0.40801,0.25940,0.5
0.59199,0.74060,-0.5
0.45405,0.24969,0.5
0.54595,0.75031,-0.5
0.50001,0.25000,0.5
0.49999,0.75000,-0.5
0.54409,0.25991,0.5
0.45591,0.74009,-0.5
0.58464,0.27866,0.5
0.41536,0.72134,-0.5
0.62020,0.30513,0.5
0.37980,0.69487,-0.5
0.64958,0.33796,0.5
0.35042,0.66204,-0.5
0.67189,0.37558,0.5
0.32811,0.62442,-0.5
0.68655,0.41629,0.5
0.31345,0.58371,-0.5
0.69333,0.45835,0.5
0.30667,0.54165,-0.5
0.69231,0.50001,0.5
0.30769,0.49999,-0.5
0.68390,0.53963,0.5
0.31610,0.46037,-0.5
0.66878,0.57574,0.5
0.33122,0.42426,-0.5
0.64790,0.60707,0.5
0.35210,0.39293,-0.5
0.62238,0.63259,0.5
0.37762,0.36741,-0.5
0.59348,0.65157,0.5
0.40652,0.34843,-0.5
0.56255,0.66361,0.5
0.43745,0.33639,-0.5
0.53095,0.66857,0.5
0.46905,0.33143,-0.5
0.49999,0.66667,0.5
0.50001,0.33333,-0.5
0.47092,0.65835,0.5
0.52908,0.34165,-0.5
0.44480,0.64435,0.5
0.55520,0.35565,-0.5
0.42254,0.62558,0.5
0.57746,0.37442,-0.5
0.40481,0.60312,0.5
0.59519,0.39688,-0.5
0.39207,0.57812,0.5
0.60793,0.42188,-0.5
0.38451,0.55182,0.5
0.61549,0.44818,-0.5
0.38212,0.52540,0.5
0.61788,0.47460,-0.5
0.38462,0.50000,0.5
0.61538,0.50000,-0.5
0.39155,0.47663,0.5
0.60845,0.52337,-0.5
0.40228,0.45615,0.5
0.59772,0.54385,-0.5
0.41606,0.43923,0.5
0.58394,0.56077,-0.5
0.43201,0.42634,0.5
0.56799,0.57366,-0.5
0.44925,0.41772,0.5
0.55075,0.58228,-0.5
0.46689,0.41338,0.5
0.53311,0.58662,-0.5
0.48406,0.41316,0.5
0.51594,0.58684,-0.5
0.50000,0.41667,0.5
0.50000,0.58333,-0.5
0.51407,0.42338,0.5
0.48593,0.57662,-0.5
0.52576,0.43263,0.5
0.47424,0.56737,-0.5
0.53473,0.44370,0.5
0.46527,0.55630,-0.5
0.54080,0.45581,0.5
0.45920,0.54419,-0.5
0.54397,0.46817,0.5
0.45603,0.53183,-0.5
0.54442,0.48007,0.5
0.45558,0.51993,-0.5
0.54244,0.49086,0.5
0.45756,0.50914,-0.5
0.53846,0.50000,0.5
0.46154,0.50000,-0.5
